"phylum","class","order","family","genus","species","acceptedScientificName","taxonomicStatus","iucnRedListCategory","decimalLatitude","decimalLongitude","issues"
"Chordata","Aves","Passeriformes","Thamnophilidae","Sakesphorus","Sakesphorus canadensis","Sakesphorus canadensis (Linnaeus, 1766)","ACCEPTED","LC",9.010167,-74.08134,"cdc"
"Chordata","Aves","Passeriformes","Pipridae","Manacus","Manacus manacus","Manacus manacus (Linnaeus, 1766)","ACCEPTED","LC",9.010167,-74.08134,"cdc"
"Chordata","Aves","Piciformes","Ramphastidae","Pteroglossus","Pteroglossus torquatus","Pteroglossus torquatus (J.F.Gmelin, 1788)","ACCEPTED","LC",9.010167,-74.08134,"cdc"
"Chordata","Aves","Pelecaniformes","Ardeidae","Pilherodius","Pilherodius pileatus","Pilherodius pileatus (Boddaert, 1783)","ACCEPTED","LC",9.010167,-74.08134,"cdc"
"Chordata","Aves","Apodiformes","Trochilidae","Phaethornis","Phaethornis anthophilus","Phaethornis anthophilus (Bourcier, 1843)","ACCEPTED","LC",9.010167,-74.08134,"cdc"
"Chordata","Aves","Piciformes","Picidae","Dryocopus","Dryocopus lineatus","Dryocopus lineatus (Linnaeus, 1766)","ACCEPTED","NE",9.010167,-74.08134,"cdc"
"Chordata","Aves","Nyctibiiformes","Nyctibiidae","Nyctibius","Nyctibius grandis","Nyctibius grandis (J.F.Gmelin, 1789)","ACCEPTED","LC",9.010167,-74.08134,"cdc"
"Chordata","Aves","Strigiformes","Strigidae","Glaucidium","Glaucidium brasilianum","Glaucidium brasilianum (J.F.Gmelin, 1788)","ACCEPTED","LC",9.010167,-74.08134,"cdc"
"Chordata","Aves","Pelecaniformes","Ardeidae","Butorides","Butorides striata","Butorides striata (Linnaeus, 1758)","ACCEPTED","LC",9.010167,-74.08134,"cdc"
"Chordata","Aves","Accipitriformes","Accipitridae","Geranospiza","Geranospiza caerulescens","Geranospiza caerulescens (Vieillot, 1817)","ACCEPTED","LC",9.010167,-74.08134,"cdc"
"Chordata","Aves","Caprimulgiformes","Caprimulgidae","Nyctidromus","Nyctidromus albicollis","Nyctidromus albicollis (J.F.Gmelin, 1789)","ACCEPTED","LC",9.010167,-74.08134,"cdc"
"Chordata","Aves","Psittaciformes","Psittacidae","Amazona","Amazona ochrocephala","Amazona ochrocephala (Gmelin, 1788)","ACCEPTED","LC",9.010167,-74.08134,"cdc"
"Chordata","Aves","Piciformes","Picidae","Campephilus","Campephilus melanoleucos","Campephilus melanoleucos (J.F.Gmelin, 1788)","ACCEPTED","LC",9.010167,-74.08134,"cdc"
"Chordata","Aves","Pelecaniformes","Threskiornithidae","Eudocimus","Eudocimus albus","Eudocimus albus (Linnaeus, 1758)","ACCEPTED","LC",9.010167,-74.08134,"cdc"
"Chordata","Aves","Accipitriformes","Accipitridae","Buteo","Buteo nitidus","Buteo nitidus (Latham, 1790)","ACCEPTED","LC",9.010167,-74.08134,"cdc"
"Chordata","Aves","Piciformes","Picidae","Picumnus","Picumnus cinnamomeus","Picumnus cinnamomeus Wagler, 1829","ACCEPTED","LC",9.010167,-74.08134,"cdc"
"Chordata","Aves","Pelecaniformes","Ardeidae","Cochlearius","Cochlearius cochlearius","Cochlearius cochlearius (Linnaeus, 1766)","ACCEPTED","LC",9.010167,-74.08134,"cdc"
"Chordata","Aves","Suliformes","Anhingidae","Anhinga","Anhinga anhinga","Anhinga anhinga (Linnaeus, 1766)","ACCEPTED","LC",9.010167,-74.08134,"cdc"
